Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option2 name,Option2 value,Option3 name,Option3 value,Price,Price / International,Compare-at price,Compare-at price / International,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
White Oyster Mushroom Grow Kit,white-oyster-mushroom-grow-kit,"<p>Our classic White Oyster Mushroom Grow Kit is perfect for beginners. These beautiful white oysters have a mild, delicate flavor and velvety texture. Simply cut open the bag, mist daily, and watch your mushrooms grow in 7-10 days.</p><ul><li>Perfect for beginners</li><li>Harvest in 7-10 days</li><li>Multiple flushes possible</li><li>Grows year round</li></ul>",Wild Plum Growers,Home & Garden > Plants > Live Plants,Grow Kits,"grow kit, oyster mushroom, beginner friendly, cool growing temperatures, grows all year round",TRUE,active,WPG-WHITE-001,,Title,Default Title,,,,,280,,,,70,TRUE,,,,,,,10,deny,500,g,TRUE,manual,https://www.wildplumgrowers.co.za/gallery_gen/96ce008ce1c13192d968a5f5f5b2c620_500x500_fill.jpg,1,White Oyster Mushroom Grow Kit,,FALSE,White Oyster Mushroom Grow Kit | Wild Plum Growers,Grow your own delicious white oyster mushrooms at home with our easy-to-use grow kit. Perfect for beginners.,Home & Garden > Plants > Live Plants,Unisex,Adult,WPG-WHITE-001,Mushroom Grow Kits,"mushroom, grow kit, oyster",new,FALSE,Cool Growing,Beginner Friendly,,,
Grey Oyster Mushroom Grow Kit,grey-oyster-mushroom-grow-kit,"<p>Our Grey Oyster Mushroom Grow Kit produces robust mushrooms with a rich, earthy flavor. Grey oysters are known for their meaty texture and versatility in cooking. An excellent choice for home growers looking for hearty harvests.</p><ul><li>Rich, earthy flavor</li><li>Harvest in 7-10 days</li><li>Multiple flushes possible</li><li>Grows year round</li></ul>",Wild Plum Growers,Home & Garden > Plants > Live Plants,Grow Kits,"grow kit, oyster mushroom, earthy flavor, cool growing temperatures, grows all year round",TRUE,active,WPG-GREY-001,,Title,Default Title,,,,,280,,,,70,TRUE,,,,,,,10,deny,500,g,TRUE,manual,https://www.wildplumgrowers.co.za/gallery_gen/82fd4c06661b6fee08f7a02cfc5b2412_500x500_fill.jpg,1,Grey Oyster Mushroom Grow Kit,,FALSE,Grey Oyster Mushroom Grow Kit | Wild Plum Growers,Grow robust grey oyster mushrooms with rich earthy flavor. Easy home cultivation kit.,Home & Garden > Plants > Live Plants,Unisex,Adult,WPG-GREY-001,Mushroom Grow Kits,"mushroom, grow kit, oyster",new,FALSE,Cool Growing,Year Round,,,
Lions Mane Mushroom Grow Kit,lions-mane-mushroom-grow-kit,"<p>Grow the extraordinary Lion's Mane mushroom at home! Known for its unique appearance and potential cognitive benefits, Lion's Mane has a delicate seafood-like flavor reminiscent of crab or lobster. A gourmet favorite.</p><ul><li>Unique cascading appearance</li><li>Delicate seafood-like flavor</li><li>Known for cognitive benefits</li><li>Cool growing temperatures</li></ul>",Wild Plum Growers,Home & Garden > Plants > Live Plants,Grow Kits,"grow kit, lions mane, gourmet, medicinal, cool growing temperatures",TRUE,active,WPG-LION-001,,Title,Default Title,,,,,390,,,,100,TRUE,,,,,,,10,deny,500,g,TRUE,manual,https://www.wildplumgrowers.co.za/gallery_gen/f383bead698ec5fd0be262be7f8dfafe_500x500_fill.png,1,Lions Mane Mushroom Grow Kit,,FALSE,Lions Mane Mushroom Grow Kit | Wild Plum Growers,Cultivate extraordinary Lion's Mane mushrooms known for cognitive benefits and gourmet flavor.,Home & Garden > Plants > Live Plants,Unisex,Adult,WPG-LION-001,Mushroom Grow Kits,"mushroom, grow kit, medicinal",new,FALSE,Cool Growing,Medicinal,,,
Chestnut Mushroom Grow Kit,chestnut-mushroom-grow-kit,"<p>Our Chestnut Mushroom Grow Kit produces beautiful clusters of nutty, rich-flavored mushrooms. Chestnut mushrooms have a firm texture that holds up well in cooking, making them perfect for stir-fries and roasts.</p><ul><li>Nutty, rich flavor</li><li>Firm texture for cooking</li><li>Beautiful clustered growth</li><li>Grows year round</li></ul>",Wild Plum Growers,Home & Garden > Plants > Live Plants,Grow Kits,"grow kit, chestnut mushroom, gourmet, grows all year round",TRUE,active,WPG-CHEST-001,,Title,Default Title,,,,,320,,,,80,TRUE,,,,,,,10,deny,500,g,TRUE,manual,https://www.wildplumgrowers.co.za/gallery_gen/71e74e32cc2a1e9ec3a1414ad61679d2_500x500_fill.jpg,1,Chestnut Mushroom Grow Kit,,FALSE,Chestnut Mushroom Grow Kit | Wild Plum Growers,Grow delicious chestnut mushrooms with nutty rich flavor. Perfect for gourmet cooking.,Home & Garden > Plants > Live Plants,Unisex,Adult,WPG-CHEST-001,Mushroom Grow Kits,"mushroom, grow kit, gourmet",new,FALSE,Year Round,Gourmet,,,
Brown Oyster Mushroom Grow Kit,brown-oyster-mushroom-grow-kit,"<p>Our Brown Oyster Mushroom Grow Kit delivers deep, complex flavors with a nutty undertone. Brown oysters are prized for their robust taste and satisfying texture. A favorite among mushroom enthusiasts.</p><ul><li>Deep, nutty flavor</li><li>Harvest in 7-10 days</li><li>Multiple flushes possible</li><li>Grows year round</li></ul>",Wild Plum Growers,Home & Garden > Plants > Live Plants,Grow Kits,"grow kit, oyster mushroom, nutty flavor, cool growing temperatures, grows all year round",TRUE,active,WPG-BROWN-001,,Title,Default Title,,,,,280,,,,70,TRUE,,,,,,,10,deny,500,g,TRUE,manual,https://www.wildplumgrowers.co.za/gallery_gen/463a3331776c5cdca1a7bb2295f5f8f2_500x500_fill.jpg,1,Brown Oyster Mushroom Grow Kit,,FALSE,Brown Oyster Mushroom Grow Kit | Wild Plum Growers,Cultivate brown oyster mushrooms with deep nutty flavors. Easy home growing kit.,Home & Garden > Plants > Live Plants,Unisex,Adult,WPG-BROWN-001,Mushroom Grow Kits,"mushroom, grow kit, oyster",new,FALSE,Cool Growing,Year Round,,,
Reishi Mushroom Grow Kit,reishi-mushroom-grow-kit,"<p>Grow the legendary Reishi mushroom, known as the ""Mushroom of Immortality"" in traditional medicine. Our Reishi Grow Kit lets you cultivate this beautiful red-brown fungus known for its potential health benefits and ornamental beauty.</p><ul><li>Traditional medicinal mushroom</li><li>Beautiful ornamental appearance</li><li>Warm growing temperatures</li><li>Unique growing experience</li></ul>",Wild Plum Growers,Home & Garden > Plants > Live Plants,Grow Kits,"grow kit, reishi, medicinal, warm growing temperatures",TRUE,active,WPG-REISHI-001,,Title,Default Title,,,,,390,,,,100,TRUE,,,,,,,10,deny,500,g,TRUE,manual,https://www.wildplumgrowers.co.za/gallery_gen/9387fe0e626d54d20e6068fc3a5391d0_500x500_fill.jpg,1,Reishi Mushroom Grow Kit,,FALSE,Reishi Mushroom Grow Kit | Wild Plum Growers,Cultivate legendary Reishi mushrooms known for their health benefits and beauty.,Home & Garden > Plants > Live Plants,Unisex,Adult,WPG-REISHI-001,Mushroom Grow Kits,"mushroom, grow kit, medicinal",new,FALSE,Warm Growing,Medicinal,,,
King Oyster Mushroom Grow Kit,king-oyster-mushroom-grow-kit,"<p>The King Oyster is the largest species of oyster mushroom with thick, meaty stems and small caps. Known for its firm texture and mild umami flavor, it's a chef favorite that works wonderfully as a meat substitute.</p><ul><li>Thick, meaty stems</li><li>Mild umami flavor</li><li>Excellent meat substitute</li><li>Cool growing temperatures</li></ul>",Wild Plum Growers,Home & Garden > Plants > Live Plants,Grow Kits,"grow kit, king oyster, gourmet, meat substitute, cool growing temperatures",TRUE,active,WPG-KING-001,,Title,Default Title,,,,,320,,,,80,TRUE,,,,,,,10,deny,500,g,TRUE,manual,https://www.wildplumgrowers.co.za/gallery_gen/ef349074c5256c90a7ae6ef8f9215268_500x500_fill.jpg,1,King Oyster Mushroom Grow Kit,,FALSE,King Oyster Mushroom Grow Kit | Wild Plum Growers,Grow gourmet King Oyster mushrooms with thick meaty stems. Perfect meat substitute.,Home & Garden > Plants > Live Plants,Unisex,Adult,WPG-KING-001,Mushroom Grow Kits,"mushroom, grow kit, gourmet",new,FALSE,Cool Growing,Gourmet,,,
Black King Oyster Mushroom Grow Kit,black-king-oyster-mushroom-grow-kit,"<p>A stunning variety of King Oyster with darker coloring and equally impressive culinary qualities. The Black King Oyster offers the same meaty texture with a slightly more intense flavor profile.</p><ul><li>Beautiful dark coloring</li><li>Intense flavor profile</li><li>Meaty texture</li><li>Cool growing temperatures</li></ul>",Wild Plum Growers,Home & Garden > Plants > Live Plants,Grow Kits,"grow kit, black king oyster, gourmet, cool growing temperatures",TRUE,active,WPG-BKING-001,,Title,Default Title,,,,,320,,,,80,TRUE,,,,,,,10,deny,500,g,TRUE,manual,https://www.wildplumgrowers.co.za/gallery_gen/8abba6a07260ccfe1abe2bc5ac44abff_500x500_fill.jpg,1,Black King Oyster Mushroom Grow Kit,,FALSE,Black King Oyster Mushroom Grow Kit | Wild Plum Growers,Cultivate stunning Black King Oyster mushrooms with intense flavor and meaty texture.,Home & Garden > Plants > Live Plants,Unisex,Adult,WPG-BKING-001,Mushroom Grow Kits,"mushroom, grow kit, gourmet",new,FALSE,Cool Growing,Gourmet,,,
Shiitake Mushroom Grow Kit,shiitake-mushroom-grow-kit,"<p>Grow the world-famous Shiitake mushroom at home! Prized in Asian cuisine for centuries, Shiitake offers a rich, smoky flavor and impressive nutritional profile including immune-supporting compounds.</p><ul><li>Rich, smoky flavor</li><li>Immune-supporting compounds</li><li>World-famous gourmet mushroom</li><li>Cool growing temperatures</li></ul>",Wild Plum Growers,Home & Garden > Plants > Live Plants,Grow Kits,"grow kit, shiitake, gourmet, medicinal, cool growing temperatures",TRUE,active,WPG-SHIIT-001,,Title,Default Title,,,,,390,,,,100,TRUE,,,,,,,10,deny,500,g,TRUE,manual,https://www.wildplumgrowers.co.za/gallery_gen/adb31ab4030e33e31f8c04e847ecb0a2_500x500_fill.png,1,Shiitake Mushroom Grow Kit,,FALSE,Shiitake Mushroom Grow Kit | Wild Plum Growers,Grow world-famous Shiitake mushrooms with rich smoky flavor and health benefits.,Home & Garden > Plants > Live Plants,Unisex,Adult,WPG-SHIIT-001,Mushroom Grow Kits,"mushroom, grow kit, gourmet",new,FALSE,Cool Growing,Medicinal,,,
Pink Oyster Mushroom Grow Kit,pink-oyster-mushroom-grow-kit,"<p>The stunning Pink Oyster mushroom is as beautiful as it is delicious! With vibrant pink coloring and a mild, slightly sweet flavor, these tropical oysters bring color and taste to any dish.</p><ul><li>Vibrant pink color</li><li>Mild, slightly sweet flavor</li><li>Warm growing temperatures</li><li>Fast growing</li></ul>",Wild Plum Growers,Home & Garden > Plants > Live Plants,Grow Kits,"grow kit, pink oyster, colorful, warm growing temperatures",FALSE,draft,WPG-PINK-001,,Title,Default Title,,,,,320,,,,80,TRUE,,,,,,,0,deny,500,g,TRUE,manual,https://www.wildplumgrowers.co.za/gallery_gen/abbbee655eb03a2f4e9eff9a55f9d865_500x500_fill.png,1,Pink Oyster Mushroom Grow Kit,,FALSE,Pink Oyster Mushroom Grow Kit | Wild Plum Growers,Grow stunning pink oyster mushrooms with vibrant color and sweet flavor.,Home & Garden > Plants > Live Plants,Unisex,Adult,WPG-PINK-001,Mushroom Grow Kits,"mushroom, grow kit, colorful",new,FALSE,Warm Growing,Colorful,,,
